weekday,menu,orders
Friday,Continental,288
Monday,South Indian,348
Tuesday,Biryani,364
Wednesday,Biryani,361
Thursday,South Indian,327
Friday,North Indian,314
Monday,Continental,334
Tuesday,Biryani,347
Wednesday,South Indian,335
Thursday,Salad,323
Friday,Continental,289
Monday,South Indian,330
Tuesday,Chinese,317
Wednesday,South Indian,317
Thursday,Salad,303
Friday,South Indian,300
Monday,Salad,306
Tuesday,North Indian,344
Wednesday,Salad,305
Thursday,Biryani,352
Friday,North Indian,304
Monday,Salad,330
Tuesday,Chinese,340
Wednesday,Chinese,324
Thursday,Continental,336
Friday,Chinese,294
Monday,South Indian,330
Tuesday,North Indian,329
Wednesday,Biryani,341
Thursday,Continental,334
Friday,Biryani,337
Monday,Chinese,345
Tuesday,Chinese,322
Wednesday,Continental,321
Thursday,Chinese,339
Friday,Biryani,339
Monday,Biryani,379
Tuesday,South Indian,341
Wednesday,Salad,320
Thursday,Chinese,345
Friday,Salad,290
Monday,South Indian,334
Tuesday,Chinese,343
Wednesday,Continental,337
Thursday,South Indian,325
Friday,Biryani,323
Monday,North Indian,325
Tuesday,North Indian,331
Wednesday,Salad,295
Thursday,Continental,322
Friday,Chinese,292
Monday,South Indian,353
Tuesday,Salad,304
Wednesday,Biryani,363
Thursday,Biryani,370
Friday,Continental,287
Monday,South Indian,336
Tuesday,South Indian,326
Wednesday,South Indian,327
Thursday,Continental,338
Friday,Chinese,293
Monday,Chinese,328
Tuesday,North Indian,338
Wednesday,Biryani,362
Thursday,Chinese,334
Friday,Chinese,294
Monday,South Indian,328
Tuesday,South Indian,335
Wednesday,Salad,313
Thursday,North Indian,325
Friday,Salad,266
Monday,South Indian,347
Tuesday,Chinese,320
Wednesday,North Indian,328
Thursday,Salad,308
Friday,Chinese,294
Monday,North Indian,331
Tuesday,North Indian,331
Wednesday,South Indian,319
Thursday,Continental,333
Friday,Salad,269
Monday,Salad,334
Tuesday,North Indian,345
Wednesday,Continental,330
Thursday,Salad,323
Friday,North Indian,297
